probe_id,repo,ecosystem,package,version,relation,ghsa_id,cve_id,severity,first_patched,published,summary
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-7jqf-v358-p8g7,CVE-2024-38286,HIGH,10.1.25,2024-11-07,Apache Tomcat Allocation of Resources Without Limits or Throttling vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-wm9w-rjj3-j356,CVE-2024-34750,HIGH,10.1.25,2024-07-03,Apache Tomcat - Denial of Service
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-27hp-xhwr-wr2m,CVE-2024-56337,HIGH,10.1.34,2024-12-20,Apache Tomcat Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-5j33-cvvr-w245,CVE-2024-50379,HIGH,10.1.34,2024-12-17,Apache Tomcat Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-83qj-6fr2-vhqg,CVE-2025-24813,CRITICAL,10.1.35,2025-03-10,Apache Tomcat: Potential RCE and/or information disclosure and/or information corruption w
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-23hv-mwm6-g8jf,CVE-2025-55668,MODERATE,10.1.42,2025-08-13,Apache Tomcat Session Fixation vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-gqp3-2cvr-x8m3,CVE-2025-48989,HIGH,10.1.44,2025-08-13,Apache Tomcat Improper Resource Shutdown or Release vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-4j3c-42xv-3f84,CVE-2025-52434,MODERATE,9.0.107,2025-07-10,Apache Tomcat is vulnerable to resource exhaustion when using the APR/Native connector
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-wr62-c79q-cv37,CVE-2025-52520,HIGH,10.1.43,2025-07-10,Apache Tomcat Catalina is vulnerable to DoS attack through bypassing of size limits
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-25xr-qj8w-c4vf,CVE-2025-53506,HIGH,10.1.43,2025-07-10,Apache Tomcat Coyote vulnerable to Denial of Service via excessive HTTP/2 streams
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-h2fw-rfh5-95r3,CVE-2025-46701,LOW,10.1.41,2025-05-29,Apache Tomcat - CGI security constraint bypass
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-hgrr-935x-pq79,CVE-2025-61795,LOW,10.1.47,2025-10-27,Apache Tomcat Vulnerable to Improper Resource Shutdown or Release
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-wmwf-9ccg-fff5,CVE-2025-55752,HIGH,10.1.45,2025-10-27,Apache Tomcat Vulnerable to Relative Path Traversal
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-vfww-5hm6-hx2j,CVE-2025-55754,LOW,10.1.45,2025-10-27,"Apache Tomcat Vulnerable to Improper Neutralization of Escape, Meta, or Control Sequences"
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-wc4r-xq3c-5cf3,CVE-2025-49125,MODERATE,10.1.42,2025-06-16,Apache Tomcat - Security constraint bypass for pre/post-resources
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-h3gc-qfqq-6h8f,CVE-2025-48988,HIGH,10.1.42,2025-06-16,Apache Tomcat - DoS in multipart upload
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-42wg-hm62-jcwg,CVE-2025-49124,MODERATE,10.1.42,2025-06-16,Apache Tomcat installer for Windows has an untrusted search path vulnerability
M-08,poc-java-sca,Maven,org.apache.tomcat.embed:tomcat-embed-core,9.0.60,transitive,GHSA-p22x-g9px-3945,CVE-2022-42252,HIGH,10.0.27,2022-11-01,Apache Tomcat may reject request containing invalid Content-Length header
M-09,poc-java-sca,Maven,commons-fileupload:commons-fileupload,1.3.2,direct,GHSA-hfrx-6qgj-fp6c,CVE-2023-24998,HIGH,1.5,2023-02-20,Apache Commons FileUpload denial of service vulnerability
M-09,poc-java-sca,Maven,commons-fileupload:commons-fileupload,1.3.2,direct,GHSA-7x9j-7223-rg5m,CVE-2016-1000031,CRITICAL,1.3.3,2018-12-21,Improper Access Control in commons-fileupload
M-09,poc-java-sca,Maven,commons-fileupload:commons-fileupload,1.3.2,direct,GHSA-vv7r-c36w-3prj,CVE-2025-48976,HIGH,1.6.0,2025-06-16,"Apache Commons FileUpload, Apache Commons FileUpload: FileUpload DoS via part headers"
